feature,importance_mean
cos_hour,0.10290801
sin_hour,0.08512369
ALLSKY_SFC_SW_DWN_lag_22,0.038424242
ALLSKY_SFC_SW_DWN_lag_9,0.0380991
CLRSKY_SFC_SW_DWN_lag_6,0.036847252
ALLSKY_SFC_SW_DWN_lag_18,0.034120716
ALLSKY_SFC_SW_DWN_lag_7,0.02982124
ALLSKY_SFC_SW_DWN_lag_11,0.029328384
ALLSKY_SFC_SW_DWN_lag_19,0.029261982
CLRSKY_SFC_SW_DWN_lag_3,0.028946012
ALLSKY_SFC_SW_DWN_lag_13,0.028309012
CLRSKY_SFC_SW_DWN_lag_1,0.028165204
ALLSKY_SFC_SW_DWN_roll_max_6,0.028118016
CLRSKY_SFC_SW_DWN,0.027736189
ALLSKY_SFC_SW_DWN_roll_min_6,0.027714953
CLRSKY_SFC_SW_DWN_lag_12,0.027447388
ALLSKY_SFC_SW_DWN_lag_23,0.026243463
ALLSKY_SFC_SW_DWN_lag_21,0.026204668
ALLSKY_SFC_SW_DWN_lag_10,0.026057793
ALLSKY_SFC_SW_DWN_lag_5,0.025271693
ALLSKY_SFC_SW_DWN_lag_17,0.023623114
CLRSKY_SFC_SW_DWN_roll_max_6,0.020523751
CLRSKY_SFC_SW_DWN_roll_min_6,0.019150395
ALLSKY_SFC_SW_DWN_lag_12,0.018800842
CLRSKY_SFC_SW_DWN_roll_mean_6,0.017706446
ALLSKY_SFC_SW_DWN_lag_3,0.016019145
ALLSKY_SFC_SW_DWN_lag_15,0.013439422
ALLSKY_SFC_SW_DWN_roll_mean_6,0.013378129
ALLSKY_SFC_SW_DWN_lag_6,0.012812778
ALLSKY_SFC_SW_DWN_lag_24,0.009799197
CLRSKY_SFC_SW_DWN_lag_2,0.009580537
ALLSKY_SFC_SW_DWN_lag_20,0.0094831865
CLRSKY_SFC_SW_DWN_lag_24,0.009377637
ALLSKY_SFC_SW_DWN_lag_1,0.006891428
CLRSKY_SFC_SW_DWN_roll_mean_3,0.006863291
ALLSKY_SFC_SW_DWN_lag_8,0.006594619
ALLSKY_SFC_SW_DWN_lag_14,0.0058609005
ALLSKY_SFC_SW_DWN_roll_mean_3,0.0049065044
ALLSKY_SFC_SW_DWN_lag_4,0.0034646383
ALLSKY_SFC_SW_DWN_lag_16,0.0031012043
ALLSKY_SFC_SW_DWN_lag_2,0.0026555927
CLOUD_AMT,0.0021852155
cos_month,0.0018213949
CLOUD_AMT_lag_1,0.0017018832
CLOUD_AMT_roll_mean_3,0.0015955077
CLOUD_AMT_roll_min_6,0.0015209694
CLOUD_AMT_roll_mean_6,0.0013706236
CLOUD_AMT_lag_2,0.001349104
RH2M_lag_6,0.0013465154
RH2M_lag_3,0.0013395614
CLOUD_AMT_roll_max_6,0.0013134143
T2M_lag_2,0.0012820998
RH2M,0.001267413
T2M_lag_1,0.0012624628
RH2M_lag_1,0.0012435835
PS_lag_12,0.0012427404
sin_month,0.0012341673
RH2M_lag_12,0.0012253878
PS_lag_6,0.001214694
PS_lag_3,0.0012043079
PS_lag_2,0.0011936016
RH2M_lag_2,0.001167209
PS_lag_1,0.001162906
T2M_lag_6,0.0011040192
T2M_lag_3,0.001096265
CLOUD_AMT_lag_24,0.0010766784
RH2M_lag_24,0.0010402073
PS_lag_24,0.0010340166
T2M_lag_12,0.0009981924
T2M_lag_24,0.0009920656
CLOUD_AMT_lag_3,0.0009852868
CLOUD_AMT_lag_12,0.00091245683
CLOUD_AMT_lag_6,0.00087100983
PS,0.00075381366
T2M,0.0007094675
